player,Payroll in thousand U.S. dollars
Tim  Howard,2475.0
Kei Kamara,750.0
Kellyn  Acosta,665.0
Tommy Smith,640.0
Danny  Wilson,540.0
Jack  Price,437.5
Diego Rubio Kostner,353.75
Sam  Nicholson,342.07
Nicolas  Mezquida,320.0
Johan  Blomberg,250.96
Axel  Sjoberg,180.0
Keegan  Rosenberry,164.94
Lalas  Abubakar,144.94
Clint  Irwin,138.71
Jonathan  Lewis,137.5
Dillon  Serna,120.0
Matt  Hundley,99.0
Andre  Shinyashiki,95.0
Kortne  Ford,92.5
Cole Bassett,84.0
Sam  Vines,81.25
Sebastian  Anderson,80.92
Deklan  Wynne,74.25
Andre  Rawls,72.36
Kofi  Opare,70.25
Sam  Raben,70.25
Abdul  Rwatubyaye,62.63
Niki  Jackson,57.23
