Response,Percentage of husband-wife households
Utah,68.53%
Texas,62.69%
Alaska,61.98%
Kansas,61.34%
California,60.96%
Idaho,60.72%
Nebraska,60.16%
Colorado,59.3%
North Dakota,59.17%
Hawaii,58.53%
Virginia,58.46%
Oklahoma,58.45%
Maryland,58.36%
Minnesota,58.29%
Illinois,57.4%
Arizona,57.38%
Iowa,57.14%
United States,56.4%
New Jersey,56.19%
South Dakota,56.07%
Indiana,55.95%
Georgia,55.9%
New York,55.73%
Nevada,55.53%
North Carolina,55.23%
Washington,55.16%
Louisiana,55.07%
Kentucky,55.07%
Missouri,55.03%
New Mexico,54.47%
District of Columbia,54.17%
Massachusetts,54.05%
Wisconsin,54%
Mississippi,53.97%
Arkansas,53.76%
Wyoming,53.64%
Oregon,53.56%
Connecticut,53.23%
Pennsylvania,52.29%
Montana,52.02%
Michigan,52%
Tennessee,51.52%
South Carolina,51.45%
Florida,51.18%
Ohio,50.98%
West Virginia,50.94%
Alabama,50.65%
Maine,50.63%
Vermont,50.27%
New Hampshire,49.64%
Delaware,48.87%
Rhode Island,46.46%
