Year,Inflation rate compared to previous year
2025*,2%
2024*,2%
2023*,2%
2022*,2%
2021*,1.7%
2020*,4.4%
2019,-2.52%
2018,2.75%
2017,0.19%
2016,0.18%
2015,0.96%
2014,-0.89%
2013,2.29%
2012,0.47%
2011,2.93%
2010,0.94%
2009,0.46%
2008,11.31%
2007,0.05%
2006,0.04%
2005,7.81%
2004,0.25%
2003,-1.48%
2002,2.51%
2001,3.94%
2000,2.7%
1999,-2.06%
1998,4.57%
1997,2.93%
1996,5.34%
1995,10.86%
1994,35.53%
1993,-0.33%
1992,-5.91%
1991,1.5%
1990,-2.03%
1989,-0.82%
1988,0.6%
1987,-6.64%
1986,-3.25%
1985,-1.07%
