Country,Price level in points (Zurich = 100 points)
Oslo,103.0
Zurich,100.0
Geneva,98.5
Copenhagen,87.7
Stockholm,87.0
Tokyo,83.4
Sydney,79.8
Helsinki,76.7
Toronto,76.2
Singapore,75.9
Vienna,75.6
Paris,74.8
Luxembourg,74.1
New York,74.1
London,73.9
Munich,73.8
Montreal,73.6
Frankfurt,72.6
Sao Paulo,71.5
Dublin,70.9
Brussels,69.1
Rome,68.7
Lyon,68.3
Auckland,67.9
Barcelona,67.3
Rio de Janeiro,67.3
Dubai,66.4
Istanbul,66.3
Amsterdam,65.3
Madrid,65.3
Los Angeles,65.3
Tel Aviv,64.9
Berlin,64.8
Milan,62.6
Seoul,62.6
Chicago,61.0
Hongkong,60.9
Athen,59.3
Lisbon,59.2
Nikosia,59.1
