Response,Percentage of adults
Oregon,28.56%
Colorado,27.77%
District of Columbia,27.03%
Vermont,25.71%
Maine,24.53%
Alaska,24.52%
Washington,24.18%
Nevada,22.61%
Rhode Island,21.21%
New Hampshire,20.89%
Massachusetts,20.87%
Montana,20.07%
New Mexico,18.99%
Michigan,18.91%
California,18.89%
Connecticut,18.68%
Delaware,17.4%
Arizona,17.2%
Minnesota,15.9%
Indiana,15.89%
New York,15.53%
Illinois,15.41%
Missouri,14.82%
Maryland,14.81%
West Virginia,14.65%
Hawaii,14.56%
Pennsylvania,14.47%
Florida,14.45%
Ohio,13.96%
Idaho,13.96%
Kansas,13.93%
South Carolina,13.82%
Wisconsin,13.77%
Georgia,13.71%
Arkansas,13.61%
Tennessee,13.24%
Oklahoma,13.15%
Wyoming,13.14%
Kentucky,13%
North Carolina,12.96%
Alabama,12.82%
Nebraska,12.7%
Iowa,12.61%
Louisiana,12.54%
New Jersey,12.42%
South Dakota,12.26%
North Dakota,12.17%
Virginia,12.05%
Mississippi,11.67%
Texas,11.21%
Utah,11.16%
