Industry,Real value added in billion chained (2012) U.S. dollars
"Finance, insurance, real estate, rental, and leasing",91.78
Manufacturing,91.23
Professional and business services,67.91
Government and government enterprises,66.29
"Educational services, health care, and social assistance",42.34
Wholesale trade,29.66
Retail trade,29.43
Information,22.82
"Arts, entertainment, recreation, accommodation, and food services",18.15
Construction,17.38
Transportation and warehousing,11.86
Utilities,7.63
"Agriculture, forestry, fishing, and hunting",5.47
"Mining, quarrying, and oil and gas extraction",0.63
