Response,Percentage of physicians
Oncology,67%
Emergency medicine,67%
Radiology,67%
Psychiatry,66%
Otolaryngology,66%
Public health/preventive medicine,65%
Dermatology,65%
Pathology,62%
Cardiology,61%
Anesthesiology,60%
Physical medicine/rehabilitation,60%
Orthopedics,60%
Critical care,59%
General surgery,58%
Allergy /immunology,56%
Rheumatology,55%
Plastic surgery,55%
Family medicine,54%
Ophthalmology,54%
Pediatrics,53%
Neurology,53%
Internal medicine,52%
Gastroenterology,52%
Infectious disease,51%
Obstetricians/gynecologists,51%
Pulmonary medicine,50%
Urology,49%
Diabetes/endocrinology,49%
Nephrology,44%
