Year,GDP per capita in U.S. dollars
2025*,19839.74
2024*,18581.43
2023*,17368.8
2022*,16130.32
2021*,14916.09
2020*,12813.11
2019,12887.06
2018,12371.66
2017,10776.67
2016,9538.93
2015,8950.46
2014,10004.88
2013,9537.82
2012,8518.92
2011,9081.72
2010,8190.57
2009,8517.6
2008,10385.85
2007,8262.41
2006,5811.44
2005,4662.67
2004,3541.52
2003,2768.12
2002,2118.57
2001,1817.05
2000,1669.98
1999,1611.13
1998,1897.42
1997,1581.75
1996,1575.5
1995,1573.13
1994,1325.48
1993,1154.67
1992,853.11
1991,1249.01
1990,1652.37
1989,2329.57
1988,2609.66
1987,2534.07
1986,2278.87
1985,2115.46
