Month,Number of deaths
Dec 10,56940
Dec 9,56648
Dec 8,56352
Dec 7,55521
Dec 6,55155
Dec 5,54981
Dec 4,54767
Dec 3,54140
Dec 2,53816
Dec 1,53506
Nov 30,52731
Nov 29,52325
Nov 28,52127
Nov 27,51914
Nov 26,50957
Nov 25,50618
Nov 24,50237
Nov 23,49232
Nov 22,48732
Nov 21,48518
Nov 20,48265
Nov 19,47127
Nov 18,46698
Nov 17,46273
Nov 16,45054
Nov 15,44548
Nov 14,44246
Nov 13,43892
Nov 12,42960
Nov 11,42535
Nov 10,42207
Nov 9,40987
Nov 8,40439
Nov 7,40169
Nov 6,39865
Nov 5,39037
Nov 4,38674
Nov 3,38289
Nov 2,37435
Nov 1,37019
Oct 31,36788
Oct 30,36565
Oct 29,36020
Oct 28,35785
Oct 27,35541
Oct 26,35018
Oct 25,34761
Oct 24,34645
Oct 23,34508
Oct 22,34210
Oct 21,34048
Oct 20,33885
Oct 19,33623
Oct 18,33477
Oct 17,33392
Oct 16,33303
Oct 15,33125
Oct 14,33037
Oct 13,32933
Oct 12,32825
Oct 11,32730
Oct 10,32684
Oct 9,32630
Oct 8,32521
Oct 7,32445
Oct 6,32365
Oct 5,32299
Oct 4,32230
Oct 3,32198
Oct 2,32155
Oct 1,32019
Sep 30,31956
Sep 29,31893
Sep 28,31808
Sep 27,31727
Sep 26,31700
Sep 25,31661
Sep 24,31511
Sep 23,31459
Sep 22,31416
Sep 21,31338
Sep 20,31285
Sep 19,31274
Sep 18,31249
Sep 17,31095
Sep 16,31045
Sep 15,30999
Sep 14,30950
Sep 13,30916
Sep 12,30910
Sep 11,30893
Sep 10,30813
Sep 9,30794
Sep 8,30764
Sep 7,30726
Sep 6,30724
Sep 5,30724
Sep 4,30724
Sep 3,30706
Sep 2,30686
Sep 1,30661
Aug 31,30635
Aug 30,30606
Aug 29,30602
Aug 28,30596
Aug 27,30576
Aug 26,30544
Aug 25,30544
Aug 24,30528
Aug 23,30513
Aug 22,30512
Aug 21,30503
Aug 20,30480
Aug 19,30468
Aug 18,30451
Aug 17,30429
Aug 16,30410
Aug 15,30409
Aug 14,30406
Aug 13,30388
Aug 12,30371
Aug 11,30354
Aug 10,30340
Aug 07,30324
Aug 06,30312
Aug 05,30305
Aug 04,30296
Aug 03,30294
Jul 31,30265
Jul 30,30254
Jul 29,30238
Jul 28,30223
Jul 27,30209
Jul 24,30192
Jul 23,30182
Jul 22,30172
Jul 21,30165
Jul 20,30177
Jul 17,30152
Jul 16,30128
Jul 15,30120
Jul 13,30029
Jul 10,30004
Jul 09,29979
Jul 08,29965
Jul 07,29933
Jul 06,29920
Jul 03,29893
Jul 02,29875
Jul 01,29861
Jun 30,29843
Jun 29,29813
Jun 28,29778
Jun 27,29778
Jun 26,29778
Jun 25,29752
Jun 24,29731
Jun 23,29720
Jun 22,29663
Jun 21,29640
Jun 20,29633
Jun 19,29617
Jun 18,29603
Jun 17,29575
Jun 16,29547
Jun 15,29436
Jun 14,29407
Jun 13,29398
Jun 12,29374
Jun 11,29346
Jun 10,29319
Jun 9,29296
Jun 8,29209
Jun 7,29155
Jun 6,29142
Jun 5,29111
Jun 4,29065
Jun 3,29021
Jun 2,28940
Jun 1,28833
May 31,28802
May 30,28771
May 29,28714
May 28,28662
May 27,28596
May 26,28530
May 25,28432
May 24,28367
May 23,28332
May 22,28289
May 21,28215
May 20,28132
May 19*,28022
May 18,28239
May 17,28108
May 16,27625
May 15,27529
May 14,27425
May 13,27074
May 12,26991
May 11,26643
May 10,26380
May 9,26310
May 8,26230
May 7,25987
May 6,25809
May 5,25531
May 4,25201
May 3,24895
May 2,24760
May 1,24594
Apr 30,24376
Apr 29,24087
Apr 28,23660
Apr 27,23293
Apr 26,22856
Apr 25,22614
Apr 24,22245
Apr 23,21856
Apr 22,21340
Apr 21,20796
Apr 20,20265
Apr 19,19718
Apr 18,19323
Apr 17,18681
Apr 16,17920
Apr 15,17167
Apr 14,15729
Apr 13,14967
Apr 12,14393
Apr 11,13832
Apr 10,13197
Apr 9,12210
Apr 8,10869
Apr 7,10328
Apr 6,6494
Apr 5,5889
Apr 4,5532
Apr 3,5091
Apr 2,4503
Apr 1,4032
Mar 31,3523
Mar 30,3024
Mar 29,2606
Mar 28,2314
Mar 27,1995
Mar 26,1696
Mar 25,1331
Mar 24,1100
Mar 23,860
Mar 22,674
Mar 21,562
Mar 20,450
Mar 19,372
Mar 18,244
Mar 17,175
Mar 16,148
Mar 15,127
Mar 14,91
Mar 13,79
Mar 12,61
