Week ending,Number of deaths
"Jan 3, 2021",584454
"Dec 27, 2020",552984
"Dec 20, 2020",516839
"Dec 13, 2020",481991
"Dec 6, 2020",445806
"Nov 29, 2020",409496
"Nov 22, 2020",372454
"Nov 15, 2020",338755
"Nov 8, 2020",308257
"Nov 1, 2020",281637
"Oct 25, 2020",263348
"Oct 18, 2020",250893
"Oct 11, 2020",242134
"Oct 4, 2020",235457
"Sep 27, 2020",230294
"Sep 20, 2020",225620
"Sep 13, 2020",221427
"Sep 6, 2020",218320
"Aug 30, 2020",215374
"Aug 23, 2020",212836
"Aug 16, 2020",210443
"Aug 9, 2020",207962
"Aug 2, 2020",205559
"Jul 26, 2020",203281
"Jul 19, 2020",201043
"Jul 12, 2020",198613
"Jul 5, 2020",195853
"Jun 28, 2020",193055
"Jun 21, 2020",190248
"Jun 14, 2020",185651
"Jun 7, 2020",181875
"May 31, 2020",177346
"May 24, 2020",171621
"May 17, 2020",165968
"May 10, 2020",156442
"May 3, 2020",144551
"Apr 26, 2020",128533
"Apr 19, 2020",107597
"Apr 12, 2020",80856
"Apr 5, 2020",52075
"Mar 29, 2020",25354
"Mar 22, 2020",9031
"Mar 15, 2020",2378
"Mar 8, 2020",398
"Mar 1, 2020",38
"Feb 23, 2020",3
"Feb 16, 2020",1
