State,Number of deaths
New York City total,17609
Kings (Brooklyn),5467
Queens,5409
Bronx,3567
Nassau,2428
Suffolk,2361
New York (Manhattan),2266
Westchester,1683
Erie,1240
Richmond (Staten Island),900
Rockland,779
Monroe,603
Orange,597
Onondaga,473
Oneida,268
Dutchess,250
Albany,229
Broome,213
Niagara,190
Ulster,149
Steuben,139
Chemung,99
Rensselaer,91
Schenectady,91
Allegany,74
Madison,69
Putnam,67
Ontario,67
Tioga,64
Orleans,64
Columbia,61
Sullivan,57
Genesee,57
Montgomery,53
Cattaraugus,50
Saratoga,48
St. Lawrence,46
Cortland,45
Oswego,44
Wayne,42
Seneca,39
Warren,39
Fulton,38
Chautauqua,36
Cayuga,32
Herkimer,31
Greene,29
Wyoming,26
Livingston,26
Chenango,24
Otsego,17
Lewis,17
Washington,16
Essex,16
Tompkins,15
Jefferson,13
Yates,13
Delaware,12
Schuyler,10
Franklin,9
Clinton,8
Schoharie,5
Hamilton,1
