Month,Cumulative number of cases
Dec 15,628577
Dec 14,621944
Dec 13,613487
Dec 12,603603
Dec 11,594523
Dec 10,585685
Dec 9,576965
Dec 8,570437
Dec 7,564291
Dec 6,557224
Dec 5,550445
Dec 4,543924
Dec 3,538050
Dec 2,532444
Dec 1,527523
Nov 30,523478
Nov 29,518910
Nov 28,513325
Nov 27,508866
Nov 26,503123
Nov 25,498653
Nov 24,493744
Nov 23,489818
Nov 22,484648
Nov 21,479260
Nov 20,473190
Nov 19,467257
Nov 18,461612
Nov 17,457003
Nov 16,452701
Nov 15,447871
Nov 14,442458
Nov 13,436544
Nov 12,430453
Nov 11,424819
Nov 10,419412
Nov 9,414745
Nov 8,410065
Nov 7,404401
Nov 6,397730
Nov 5,390488
Nov 4,383523
Nov 3,375890
Nov 2,368147
Nov 1,359861
Oct 31,351178
Oct 30,341174
Oct 29,330255
Oct 28,319991
Oct 27,311889
Oct 26,301597
Oct 25,291254
Oct 24,281052
Oct 23,272401
Oct 22,262405
Oct 21,253134
Oct 20,244391
Oct 19,236226
Oct 18,228234
Oct 17,220052
Oct 16,211938
Oct 15,203954
Oct 14,196163
Oct 13,188876
Oct 12,181498
Oct 11,174653
Oct 10,168280
Oct 9,161781
Oct 8,155810
Oct 7,149471
Oct 6,144999
Oct 5,140471
Oct 4,135892
Oct 3,131889
Oct 2,127922
Oct 1,124097
Sep 30,120845
Sep 29,117551
Sep 28,114540
Sep 27,111626
Sep 26,105918
Sep 25,103141
Sep 24,100493
Sep 23,98142
Sep 22,95899
Sep 21,93684
Sep 20,91841
Sep 19,89959
Sep 18,87987
Sep 17,86237
Sep 16,84697
Sep 15,83321
Sep 14,82023
Sep 13,80937
Sep 12,79706
Sep 11,78438
Sep 10,77615
Sep 9,76475
Sep 8,75512
Sep 7,74715
Sep 6,73790
Sep 5,73136
Sep 4,72392
Sep 3,71971
Sep 2,71057
Sep 1,70596
Aug 31,70071
Aug 30,69563
Aug 29,69063
Aug 28,68556
Aug 27,68046
Aug 26,67670
Aug 25,67476
Aug 24,67062
Aug 23,66490
Aug 22,66034
Aug 21,65526
Aug 20,64992
Aug 19,64463
Aug 18,63911
Aug 17,63424
Aug 16,62943
Aug 15,62437
Aug 14,61785
Aug 13,60572
Aug 12,59918
Aug 11,59139
Aug 10,58987
Aug 9,57987
Aug 8,57501
Aug 7,56982
Aug 6,56381
Aug 5,55955
Aug 4,55773
Aug 3,55395
Aug 2,54579
Aug 1,54301
Jul 31,53963
Jul 30,53621
Jul 29,53374
Jul 28,53151
Jul 27,52946
Jul 26,52732
Jul 25,52595
Jul 24,52404
Jul 23,52241
Jul 22,52073
Jul 21,52083
Jul 20,51920
Jul 19,51735
Jul 18,51591
Jul 17,51465
Jul 16,51360
Jul 15,51261
Jul 14,51153
Jul 13,51100
Jul 12,51029
Jul 11,50928
Jul 10,50847
Jul 9,50805
Jul 8,50753
Jul 7,50701
Jul 6,50664
Jul 5,50628
Jul 4,50555
Jul 3,50494
Jul 2,50419
Jul 1,50342
Jun 30,50280
Jun 29,50230
Jun 28,50154
Jun 27,50081
Jun 26,50012
Jun 25,49921
Jun 24,49803
Jun 23,49720
Jun 22,49650
Jun 21,49581
Jun 20,49483
Jun 19,49392
Jun 18,49319
Jun 17,49187
Jun 16,49068
Jun 15,48928
Jun 14,48763
Jun 13,48620
Jun 12,48441
Jun 11,48231
Jun 10,48067
Jun 9,47883
Jun 8,47719
Jun 7,47574
Jun 6,47335
Jun 5,47152
Jun 4,46942
Jun 3,46856
Jun 2,46753
Jun 1,46545
May 31,46442
May 30,46257
May 29,46126
May 28,45950
May 27,45768
May 26,45578
May 25,45445
May 24,45236
May 23,45064
May 22,44888
May 21,44700
May 20,44447
May 19,44249
May 18,44141
May 17,43995
May 16,43870
May 15,43681
May 14,43481
May 13,43211
May 12,42984
May 11,42788
May 10,42627
May 9,42382
May 8,42093
May 7,41774
May 6,41319
May 5,41087
May 4,40770
May 3,40571
May 2,40236
May 1,39791
Apr 30,39316
Apr 29,38802
Apr 28,38416
Apr 27,38245
Apr 26,37845
Apr 25,37190
Apr 24,36535
Apr 23,35729
Apr 22,34842
Apr 21,34134
Apr 20,33405
Apr19,32655
Apr 18,31589
Apr 17,30449
Apr 16,29214
Apr 15,28153
April 14,27419
Apr 13,26551
Apr 12,25587
Apr 11,24413
Apr 10,23097
Apr 9,21762
Apr 8,20549
Apr 7,19580
Apr 6,18803
Apr 5,17851
Apr 4,16627
Apr 3,15723
Apr 2,14697
Apr 1,13614
Mar 31,12595
Mar 30,11750
Mar 29,10866
Mar 28,9762
Mar 27,8603
Mar 26,7431
Mar 25,6412
Mar 24,5560
Mar 23,4749
Mar 22,4204
Mar 21,3631
Mar 20,2994
Mar 19,2460
Mar 18,2051
Mar 17,1705
Mar 16,1413
Mar 15,1135
Mar 14,959
Mar 13,804
Mar 12,614
Mar 11,503
Mar 10,382
Mar 9,321
Mar 8,265
Mar 7,188
Mar 6,128
Mar 5,82
Mar 3,38
Mar 2,23
Mar 1,9
Feb 29,6
Feb 28,2
Feb 27,1
