trade association,Spending in million U.S. dollars
U.S. Chamber of Commerce,77.25
Open Society Policy Center,48.47
National Association of Realtors,41.24
Pharmaceutical Research & Manufacturers of America,29.29
American Hospital Association,26.22
Blue Cross/Blue Shield,25.15
American Medical Association,20.91
Business Roundtable,19.99
Amazon.com,16.79
Facebook Inc,16.71
National Association of Manufacturers,14.61
NCTA The Internet & Television Association,14.22
Boeing Co,13.81
Northrop Grumman,13.62
Comcast Corp.,13.36
Lockheed Martin,13.03
AT&T Inc,12.82
United Technologies,12.75
National Association of Broadcasters,12.72
Alphabet Inc,12.66
