Year,GDP per capita in U.S. dollars
2025*,57306.95
2024*,55822.93
2023*,54216.34
2022*,52306.48
2021*,50050.96
2020*,43813.77
2019,46236.67
2018,47631.45
2017,44364.3
2016,42090.68
2015,41147.26
2014,47550.23
2013,46784.99
2012,44977.07
2011,47951.07
2010,44691.38
2009,45176.14
2008,48850.72
2007,44638.2
2006,39020.11
2005,37143.31
2004,35711.78
2003,30857.16
2002,25186.0
2001,23189.55
2000,23298.47
1999,25508.41
1998,25602.96
1997,25086.13
1996,27747.95
1995,28610.84
1994,23750.96
1993,21839.94
1992,22945.23
1991,20673.83
1990,20227.66
1989,16184.35
1988,16094.35
1987,14819.38
1986,11937.38
1985,8614.53
