Response,Share of GDP
"Mining, quarrying, and oil and gas extraction",16.12%
Real estate and rental and leasing,11.74%
Construction,8.81%
Manufacturing,8.08%
Health care and social assistance,6.83%
Transportation and warehousing,5.74%
"Professional, scientific and technical services",5.43%
Public administration,5.42%
Wholesale trade,4.6%
Finance and insurance,4.55%
Retail trade,4.42%
Educational services,4.11%
"Administrative and support, waste management and remediation services",2.84%
Accommodation and food services,2.28%
Other services (except public administration),2.11%
Information and cultural industries,1.91%
Utilities,1.9%
"Agriculture, forestry, fishing and hunting",1.77%
Management of companies and enterprises,0.73%
"Arts, entertainment and recreation",0.61%
