most common operating room procedures,"Procedures per 100,000 population"
Arthroplasty knee,223.0
Percutaneous coronary angioplasty (PTCA),170.3
"Laminectomy, excision intervertebral disc",149.1
"Hip replacement, total and partial",149.1
Spinal fusion,143.6
Cholecystectomy and common duct exploration,129.4
Partial excision bone,107.7
"Hysterectomy, abdominal and vaginal",99.4
Colorectal resection,97.4
"Excision, lysis peritoneal adhesions",97.4
Appendectomy,93.3
"Treatment, fracture or dislocation of hip and femur",88.0
"Oophorectomy, unilateral and bilateral",71.3
Coronary artery bypass graft (CABG),64.6
"Treatment, fracture or dislocation of lower extremity (other than hip or femur)",60.2
