date,Change in access to fast food restaurants
03/04/2020,-25%
03/03/2020,-13%
03/02/2020,-38%
03/01/1020,-75%
02/29/2020,-44%
02/28/2020,-38%
02/27/2020,-44%
02/26/2020,-63%
02/25/2020,-69%
02/24/2020,-63%
02/23/2020,-57%
02/22/2020,55%
02/21/2020,-1%
02/20/2020,-19%
02/19/2020,-18%
02/18/2020,18%
02/17/2020,-38%
02/16/2020,-7%
02/15/2020,0%
02/14/2020,-19%
02/13/2020,-25%
02/12/2020,-13%
02/11/2020,24%
02/10/2020,-32%
02/09/2020,24%
02/08/2020,-19%
02/07/2020,55%
02/06/2020,6%
02/05/2020,12%
02/04/2020,6%
02/03/2020,-22%
02/02/2020,12%
02/01/2020,12%
