State,Number of registrations
California,828083
Texas,636764
Florida,583685
Ohio,410165
New York,392176
Pennsylvania,376390
Illinois,333943
Wisconsin,324260
Montana,306651
Michigan,258487
Indiana***,250579
Minnesota,241556
Washington,231400
Georgia,203064
Iowa*,194273
Virginia,193298
Colorado,190002
North Carolina,188580
Massachusetts**,168931
Arizona,164053
Tennessee,163619
New Jersey,152979
Oregon,141987
Missouri,138294
Oklahoma,136189
Maryland,118201
South Carolina,117660
South Dakota,116807
Louisiana,113664
Alabama,111247
Kentucky,101085
Kansas,95892
Connecticut,90111
Arkansas,89457
Utah,83792
New Hampshire,78702
Nevada,76027
Idaho,63266
West Virginia,59236
New Mexico,57718
Nebraska,55716
North Dakota,51927
Maine,51466
Hawaii,35203
Alaska**,31852
Vermont,30955
Rhode Island,30814
Wyoming,28956
Mississippi,28124
Delaware,27810
Dist. of Col.,3897
