Year,GDP per capita in U.S. dollars
2025*,5095.48
2024*,4769.52
2023*,4472.16
2022*,4197.94
2021*,3927.5
2020*,3697.89
2019,3852.48
2018,4078.68
2017,4076.75
2016,3885.76
2015,3842.25
2014,3818.4
2013,3608.29
2012,3349.78
2011,3212.76
2010,2807.66
2009,2396.63
2008,2336.44
2007,1869.83
2006,1645.07
2005,1431.3
2004,1221.08
2003,1125.19
2002,1027.57
2001,983.97
2000,1031.36
1999,992.64
1998,992.41
1997,968.15
1996,873.67
1995,802.02
1994,761.44
1993,666.44
1992,629.98
1991,591.05
1990,546.34
1989,482.13
1988,485.17
1987,468.85
1986,454.72
1985,428.51
