Month,Unemployment rate
Sep '20,9.1%
Aug '20,10.6%
Jul '20,11.8%
Jun '20,13.2%
May '20,10.5%
Apr '20,7.7%
Mar '20,3.9%
Feb '20,3.9%
Jan '20,3.8%
Dec '19,3.7%
Nov '19,3.5%
Oct '19,3.7%
Sep '19,4.1%
Aug '19,4.1%
Jul '19,4.4%
Jun '19,4.1%
May '19,4.1%
Apr '19,3.5%
Mar '19,3.6%
Feb '19,3.9%
Jan '19,4.2%
Dec '18,4.2%
Nov '18,4%
Oct '18,3.8%
Sep '18,3.6%
Aug '18,3.5%
Jul '18,3.4%
Jun '18,3.5%
May '18,3.6%
Apr '18,3.8%
Mar '18,3.8%
Feb '18,3.6%
Jan '18,3.5%
Dec '17,3.5%
Nov '17,3.8%
Oct '17,3.8%
Sep '17,3.8%
Aug '17,3.7%
Jul '17,3.7%
Jun '17,4%
May '17,4.2%
Apr '17,4.4%
Mar '17,4.3%
Feb '17,4.1%
Jan '17,3.9%
Dec '16,3.8%
Nov '16,3.7%
Oct '16,4.1%
Sep '16,4.1%
Aug '16,4.3%
Jul '16,4%
Jun '16,4%
May '16,3.9%
Apr '16,3.8%
Mar '16,3.7%
Feb '16,3.8%
Jan '16,4%
