Response,Share of responses
Washing hands more often/for longer,78%
"Social distancing (e.g. no handshakes, keeping a distance)",69%
Avoiding non essential social contact,68%
"Avoiding visits to pubs, cafes and restaurants when possible",66%
Using hand sanatizing gel/using it more often,58%
Avoiding public transport when possible,57%
Avoiding visits to elderly and vulnerable relatives and friends when possible,53%
Self-isolating at home,43%
Working from home/working from home more often,28%
Wearing a mask,12%
None of the above,3%
Don’t know,1%
