Year,GDP in billion euros
2018,774.04
2017,738.15
2016,708.34
2015,690.01
2014,671.56
2013,660.46
2012,652.97
2011,650.36
2010,639.19
2009,624.84
2008,647.2
2007,619.17
2006,584.55
2005,550.88
2004,529.29
2003,512.81
2002,501.14
2001,481.88
2000,452.01
1999,419.46
1998,394.3
1997,369.05
1996,344.63
1995,329.55
1994,313.12
1993,297.97
1992,289.64
1991,277.85
1990,263.04
1989,248.6
1988,234.91
1987,225.25
1986,223.32
1985,216.8
1984,209.54
1983,198.73
1982,192.03
1981,185.85
1980,176.07
1979,163.55
1978,153.02
1977,141.46
1976,130.98
1975,115.05
1974,106.43
1973,91.14
1972,79.67
1971,71.15
1970,62.69
1969,55.91
1968,45.7
1967,41.21
1966,37.56
1965,34.5
1964,30.72
1963,26.1
1962,24.06
1961,22.35
1960,21.17
