industry,"Number of self-employed (in 1,000s)"
Construction,811
"Professional, scientific & technical activities",602
Human health & social work activities,342
"Wholesale, retail & repair of motor vehicles",334
Administrative & support services,319
Education,283
Transport & storage,264
Information & communication,236
Manufacturing,199
"Agriculture, forestry, fishing, mining, energy & water",191
Accommodation and food services,107
Financial & insurance activities,101
Real estate activities,63
Public admin & defence; social security,52
