Month,Number of cases
"Jan 3, 2021",917
"Jan 2, 2021",576
"Jan 1, 2021",980
"Dec 31, 2020",1031
"Dec 30, 2020",1016
"Dec 29, 2020",749
"Dec 28, 2020",397
"Dec 27, 2020",838
"Dec 26, 2020",829
"Dec 25, 2020",784
"Dec 24, 2020",1041
"Dec 23, 2020",1133
"Dec 22, 2020",999
"Dec 21, 2020",356
"Dec 20, 2020",501
"Dec 19, 2020",920
"Dec 18, 2020",806
"Dec 17, 2020",1145
"Dec 16, 2020",930
"Dec 15, 2020",758
"Dec 14, 2020",199
"Dec 13, 2020",418
"Dec 12, 2020",617
"Dec 11, 2020",796
"Dec 10, 2020",675
"Dec 9, 2020",474
"Dec 8, 2020",550
"Dec 7, 2020",390
"Dec 6, 2020",318
"Dec 5, 2020",310
"Dec 4, 2020",324
"Dec 3, 2020",343
"Dec 2, 2020",122
"Dec 1, 2020",281
"Nov 30, 2020",145
"Nov 29, 2020",82
"Nov 28, 2020",110
"Nov 27, 2020",246
"Nov 26, 2020",169
"Nov 25, 2020",198
"Nov 24, 2020",168
"Nov 23, 2020",56
"Nov 22, 2020",155
"Nov 21, 2020",246
"Nov 20, 2020",143
"Nov 19, 2020",146
"Nov 18, 2020",236
"Nov 17, 2020",152
"Nov 16, 2020",157
"Nov 15, 2020",152
"Nov 14, 2020",112
"Nov 13, 2020",156
"Nov 12, 2020",212
"Nov 11, 2020",180
"Nov 10, 2020",152
"Nov 9, 2020",94
"Nov 8, 2020",300
"Nov 7, 2020",59
"Nov 6, 2020",223
"Nov 5, 2020",180
"Nov 4, 2020",155
"Nov 3, 2020",137
"Nov 2, 2020",72
"Nov 1, 2020",111
"Oct 31, 2020",162
"Oct 30, 2020",170
"Oct 29, 2020",150
"Oct 28, 2020",147
"Oct 27, 2020",113
"Oct 26, 2020",119
"Oct 25, 2020",62
"Oct 24, 2020",48
"Oct 23, 2020",77
"Oct 22, 2020",138
"Oct 21, 2020",37
"Oct 20, 2020",72
"Oct 19, 2020",118
"Oct 18, 2020",133
"Oct 17, 2020",113
"Oct 16, 2020",212
"Oct 15, 2020",148
"Oct 14, 2020",179
"Oct 13, 2020",225
"Oct 12, 2020",164
"Oct 11, 2020",163
"Oct 10, 2020",111
"Oct 9, 2020",151
"Oct 8, 2020",103
"Oct 7, 2020",155
"Oct 6, 2020",118
"Oct 5, 2020",120
"Oct 4, 2020",58
"Oct 3, 2020",160
"Oct 2, 2020",126
"Oct 1, 2020",153
"Sep 30, 2020",201
"Sep 29, 2020",187
"Sep 28, 2020",136
"Sep 27, 2020",126
"Sep 26, 2020",136
"Sep 25, 2020",213
"Sep 24, 2020",125
"Sep 23, 2020",111
"Sep 22, 2020",176
"Sep 21, 2020",195
"Sep 20, 2020",97
"Sep 19, 2020",189
"Sep 18, 2020",221
"Sep 17, 2020",131
"Sep 16, 2020",126
"Sep 15, 2020",90
"Sep 14, 2020",132
"Sep 13, 2020",79
"Sep 12, 2020",160
"Sep 11, 2020",188
"Sep 10, 2020",197
"Sep 9, 2020",176
"Sep 8, 2020",296
"Sep 7, 2020",155
"Sep 6, 2020",100
"Sep 5, 2020",162
"Sep 4, 2020",155
"Sep 3, 2020",125
"Sep 2, 2020",216
"Sep 1, 2020",239
"Aug 31, 2020",143
"Aug 30, 2020",138
"Aug 29, 2020",250
"Aug 28, 2020",160
"Aug 27, 2020",296
"Aug 26, 2020",221
"Aug 25, 2020",252
"Aug 24, 2020",321
"Aug 23, 2020",322
"Aug 22, 2020",601
"Aug 21, 2020",340
"Aug 20, 2020",476
"Aug 19, 2020",593
"Aug 18, 2020",410
"Aug 17, 2020",417
"Aug 16, 2020",298
"Aug 15, 2020",325
"Aug 14, 2020",329
"Aug 13, 2020",373
"Aug 12, 2020",453
"Aug 11, 2020",423
"Aug 10, 2020",290
"Aug 9, 2020",437
"Aug 8, 2020",453
"Aug 7, 2020",443
"Aug 6, 2020",354
"Aug 5, 2020",457
"Aug 4, 2020",304
"Aug 3, 2020",288
"Aug 2, 2020",304
"Aug 1, 2020",386
"Jul 31, 2020",462
"Jul 30, 2020",481
"Jul 29, 2020",404
"Jul 28, 2020",624
"Jul 27, 2020",648
"Jul 26, 2020",555
"Jul 25, 2020",438
"Jul 24, 2020",591
"Jul 23, 2020",604
"Jul 22, 2020",543
"Jul 21, 2020",576
"Jul 20, 2020",562
"Jul 19, 2020",556
"Jul 18, 2020",653
"Jul 17, 2020",600
"Jul 16, 2020",595
"Jul 15, 2020",643
"Jul 14, 2020",463
"Jul 13, 2020",595
"Jul 12, 2020",571
