Formula 1 drivers,Number of championship points
"Hamilton , Lewis",3778.0
"Vettel , Sebastian",3018.0
"Alonso , Fernando",1899.0
"Raikkonen , Kimi",1863.0
"Rosberg , Nico",1594.5
"Schumacher , Michael",1566.0
"Bottas , Valtteri",1512.0
"Button , Jenson",1235.0
"Massa , Felipe",1167.0
"Verstappen , Max",1162.0
"Ricciardo , Daniel",1159.0
"Webber , Mark",1047.5
"Cheers , Alain",798.5
"Perez , Sergio",706.0
"Barrichello , Rubens",658.0
"Senna , Ayrton",614.0
"Coulthard , David",535.0
"Hulkenberg , Nico",521.0
"Piquet , Nelson",485.5
"Mansell , Nigel",482.0
