University (ranking),Years to payback debt
"Chicago (Booth) - Chicago, IL (1)",3.9
"Stanford - Palo Alto, CA (2)",4.2
"Northwestern (Kellogg) - Evanston, IL (3)",3.9
"Harvard - Boston, MA (4)",4.1
"Pennsylvania (Wharton) - Philadelphia, PA (5)",4.1
"Dartmouth (Tuck) - Hanover, NH (6)",4.0
"Columbia - New York, NY (7)",4.1
"MIT (Sloan) - Cambridge, MA (7)",4.1
"Cornell (Johnson) - Ithaca, NY (9)",4.0
"Michigan (Ross) - Ann Arbor, MI (10)",3.9
"UC Berkeley (Haas) - Berkeley, CA (11)",4.1
"Yale - New Haven, CT (11)",3.9
"Virginia (Darden) - Charlottesville, VA (13)",4.0
"Duke (Fuqua) - Durham, NC (14)",4.0
"UNC (Kenan-Flagler) - Chapel Hill, NC (15)",3.8
"UCLA (Anderson) - Los Angeles, CA (16)",4.0
"Carnegie Mellon (Tepper) - Pittsburgh, PA (17)",3.9
"Texas-Austin (McCombs) - Austin, TX (18)",4.1
"Indiana (Kelley) - Bloomington, IN (19)",3.7
"NYU (Stern) - New York, NY (20)",4.1
