Year,GDP per capita in U.S. dollars
2025*,14765.67
2024*,13911.19
2023*,13084.08
2022*,12205.5
2021*,11378.44
2020*,10192.46
2019,11193.02
2018,11077.43
2017,9965.12
2016,9523.3
2015,9663.11
2014,11165.26
2013,10699.66
2012,10655.46
2011,10252.59
2010,8920.48
2009,7439.44
2008,8646.57
2007,7378.59
2006,6264.42
2005,5599.05
2004,5171.42
2003,4673.91
2002,4379.64
2001,4130.38
2000,4286.83
1999,3710.07
1998,3470.47
1997,4941.36
1996,5103.04
1995,4612.5
1994,3971.09
1993,3664.87
1992,3331.39
1991,2844.9
1990,2549.61
1989,2347.18
1988,2182.86
1987,2041.02
1986,1837.93
1985,2124.29
