federative unit of Brazil,Number of cases
São Paulo,1471422
Minas Gerais,550672
Santa Catarina,497345
Bahia,496008
Rio Grande do Sul,454757
Rio de Janeiro,435739
Paraná,421315
Ceará,336763
Goiás,309341
Pará,294010
Distrito Federal,253355
Espírito Santo,251643
Pernambuco,223540
Amazonas,202413
Maranhão,201017
Mato Grosso,180380
Paraíba,168044
Piauí,143489
Mato Grosso do Sul,135917
Rio Grande do Norte,119079
Sergipe,114685
Alagoas,105714
Rondônia,96906
Tocantins,90703
Roraima,68875
Amapá,68568
Acre,42046
