Month,Market share
Dec '20,30.12%
Nov '20,29.94%
Oct '20,29.76%
Sep '20,29.7%
Aug '20,29.44%
Jul '20,28.9%
Jun '20,27.6%
May '20,27.76%
Apr '20,27.54%
Mar '20,26.29%
Feb '20,24.72%
Jan '20,24.75%
Dec '19,24.84%
Nov '19,25.09%
Oct '19,24.31%
Sep '19,24.62%
Aug '19,24.6%
Jul '19,24.45%
Jun '19,23.98%
May '19,23.26%
Apr '19,24.28%
Mar '19,25.12%
Feb '19,18.12%
Jan '19,18.76%
Dec '18,18.56%
Nov '18,17.83%
Oct '18,24.16%
Sep '18,25.69%
Aug '18,24.72%
Jul '18,26.61%
Jun '18,27.28%
May '18,26.1%
Apr '18,26.34%
Mar '18,26%
Feb '18,26.25%
Jan '18,26.48%
Dec '17,26.8%
