Month,Retail sales value in thousand GBP
Apr 20,13786437
Mar 20,18020501
Feb 20,13104801
Jan 20,16392550
Dec 19,16015531
Nov 19,12971538
Oct 19,13019378
Sep 19,16283086
Aug 19,13005887
Jul 19,12941718
Jun 19,16096379
May 19,12830476
Apr 19,12861245
Mar 19,16203461
Feb 19,12849337
Jan 19,12897567
Dec 18,15955425
Nov 18,12675943
Oct 18,12624204
Sep 18,15735254
Aug 18,12683200
Jul 18,12754473
Jun 18,15866605
May 18,12692589
Apr 18,12475067
Mar 18,15480424
Feb 18,12460171
Jan 18,12304172
Dec 17,15485722
Nov 17,12344809
Oct 17,12310081
Sep 17,15253284
Aug 17,12134745
Jul 17,12108540
Jun 17,15038352
May 17,12111792
Apr 17,12174782
Mar 17,15194614
Feb 17,12096590
Jan 17,11948514
Dec 16,14915507
Nov 16,12018628
Oct 16,12035943
Sep 16,15009519
Aug 16,11935235
Jul 16,11838856
Jun 16,14765328
May 16,11826270
Apr 16,11731018
Mar 16,14747702
Feb 16,11826778
Jan 16,11794708
Dec 15,14762026
Nov 15,11714568
Oct 15,11607049
Sep 15,14837769
Aug 15,11503811
Jul 15,11657450
Jun 15,14670578
May 15,11715757
Apr 15,11662455
Mar 15,14604714
Feb 15,11621123
Jan 15,11633752
Dec 14,14687741
Nov 14,11779128
Oct 14,11724001
Sep 14,14581685
Aug 14,11624073
Jul 14,11782161
Jun 14,14672722
May 14,11652918
