province of China,CPI (the same month last year = 100)
Tibet,100.9%
Qinghai,100.5%
Yunnan,100.4%
Gansu,100.3%
Beijing,100.2%
Xinjiang,100.2%
Shanxi,100.1%
Zhejiang,100.1%
Ningxia,100%
Shaanxi,99.9%
Inner Mongolia,99.9%
Jiangxi,99.9%
Shanghai,99.9%
Liaoning,99.8%
Tianjin,99.6%
Henan,99.6%
Jiangsu,99.6%
Guangxi,99.5%
National average,99.5%
Heilongjiang,99.5%
Anhui,99.4%
Chongqing,99.4%
Fujian,99.2%
Sichuan,99.2%
Jilin,99.2%
Guangdong,99.1%
Guizhou,99.1%
Hebei,99.1%
Hunan,99%
Shandong,99%
Hubei,98.9%
Hainan,98.1%
