Year,Inflation rate compared to previous year
2025*,1.96%
2024*,2.18%
2023*,2.45%
2022*,2.88%
2021*,1.81%
2020*,-2.17%
2019,-0.55%
2018,0.18%
2017,0.46%
2016,2.66%
2015,0.96%
2014,4.2%
2013,3.2%
2012,1.79%
2011,2.04%
2010,-2.41%
2009,-4.88%
2008,15.12%
2007,13.67%
2006,11.79%
2005,8.88%
2004,6.77%
2003,2.25%
2002,0.17%
2001,1.59%
2000,1.61%
1999,2.19%
1998,2.82%
1997,2.7%
1996,7.03%
1995,2.98%
1994,1.51%
1993,-0.86%
1992,3.09%
1991,4.38%
1990,3.01%
1989,3.3%
1988,4.82%
1987,4.49%
1986,1.9%
1985,1.13%
