industry type,Number of employees in thousands
Professional and business services,20489.0
Health care and social assistance,19893.4
Retail trade,15122.1
Local government,13678.0
Leisure and hospitality,13418.0
Manufacturing,12253.0
Construction,7360.0
Finance and insurance,6504.6
Wholesale trade,5653.3
Transportation and warehousing,5555.4
Other services,5509.0
State government,4854.0
Educational services,3436.9
Federal government,2900.0
Information,2614.0
Real estate and rental and leasing,2225.8
Mining and logging,624.0
Utilities,538.7
