medical specialty,Annual compensation in thousand U.S. dollars
Orthopedics,511
Plastic surgery,479
Otolaryngology,455
Cardiology,438
Radiology,427
Gastroenterology,419
Urology,417
Dermatology,411
Anesthesiology,398
Ophthalmology,378
Oncology,377
General surgery,364
Emergency medicine,357
Critical care,355
Pulmonary medicine,342
Pathology,318
Physical medicine/rehabilitation,308
Obstetricians/gynecologists,308
Nephrology,306
Allergy/immunology,301
Neurology,280
Psychiatry,268
Rheumatology,262
Internal medicine,251
Infectious disease,246
Diabetes/endocrinology,236
Family medicine,234
Public health/preventive medicine,232
Pediatrics,232
