12 week period ending,Percentage growth (year-on-year)
6 Oct 19,0.5%
8 Sep 19,-2%
11 Aug 19,-0.4%
14 Jul 19,-1.5%
16 Jun 19,0.6%
21 Apr 19,1.4%
24 Mar 19,0.6%
24 Feb 19,1.7%
28 Jan 19,2.3%
8 Oct 18,4.8%
10 Sep 18,6%
13 Aug 18,3.8%
15 Jul 18,4.5%
17 Jun 18,2.5%
25 Mar 18,0.2%
25 Feb 18,-0.8%
28 Jan 18,1.3%
31 Dec 17,1.6%
3 Dec 17,1.3%
5 Nov 17,1.1%
8 Oct 17,2.6%
10 Sep 17,4%
16 Jul 17,5.7%
18 Jun 17,7.4%
21 May 17,8.6%
23 Apr 17,9.3%
26 Mar 17,9.8%
26 Feb 17,8.8%
29 Jan 17,8.6%
1 Jan 17,9.6%
4 Dec 16,8.6%
6 Nov 16,8.3%
9 Oct 16,6.9%
11 Sep 16,6.3%
14 Aug 16,4.3%
17 Jul 16,2.8%
19 Jun 16,3.5%
22 May 16,0.6%
24 Apr 16,-2.2%
27 Mar 16,-3.2%
31 Jan 16,-2%
3 Jan 16,-4.1%
6 Dec 15,-1.5%
8 Nov 15,-0.6%
11 Oct 15,3.2%
13 Sep 15,3.4%
16 Aug 15,3.4%
19 Jul 15,3%
