Year,Number of newborn births
2018,3678096
2017,3693124
2016,3804132
2015,3826138
2014,3818308
2013,3778696
2012,3754085
2011,3767697
2010,3871751
2009,4001748
2008,4109081
2007,4128796
2006,4126598
2005,4048442
2004,3965906
2003,3976886
2002,3934421
2001,3929733
2000,3940017
1999,3829881
1998,3795212
1997,3811522
1996,3790678
1995,3833132
1994,3886667
1993,3949788
1992,4007179
1991,4047504
1990,4046704
1989,3920384
1988,3764369
1987,3698294
1986,3680178
1985,3630961
1984,3563106
1983,3596146
1982,3615751
1981,3558274
1980,3500043
1979,3376467
1978,3250373
1977,3223699
1976,3067063
1975,3091629
1974,3043386
1973,3087210
1972,3231875
1971,3464513
1970,3537000
1965,3565344
1960,3835735
1955,3476753
1950,2742780
1946,2135327
