Year,Number of children born per woman
2018,1.88
2017,1.9
2016,1.92
2015,1.96
2014,2.0
2013,1.99
2012,2.01
2011,2.01
2010,2.03
2009,2.0
2008,2.01
2007,1.98
2006,2.0
2005,1.94
2004,1.92
2003,1.89
2002,1.88
2001,1.9
2000,1.89
1999,1.81
1998,1.78
1997,1.77
1996,1.75
1995,1.74
1994,1.73
1993,1.73
1992,1.74
1991,1.75
1990,1.77
1989,1.79
1988,1.81
1987,1.83
1986,1.85
1985,1.86
1984,1.86
1983,1.86
1982,1.86
1981,1.85
1980,1.85
1979,1.87
1978,1.89
1977,1.94
1976,2.01
1975,2.09
1974,2.18
1973,2.28
1972,2.38
1971,2.47
1970,2.55
1969,2.62
1968,2.69
1967,2.75
1966,2.8
1965,2.84
1964,2.87
1963,2.89
1962,2.89
1961,2.87
1960,2.85
