Month,Daily share of people with COVID-19 disease
Mar 2,0%
Mar 03,4%
Mar 04,0%
Mar 05,0%
Mar 06,0%
Mar 07,2.34%
Mar 08,3.48%
Mar 09,0.41%
Mar 10,2.03%
Mar 11,10.4%
Mar 12,1.68%
Mar 13,2.3%
Mar 14,1.67%
Mar 15,0%
Mar 16,3.91%
Mar 17,2.54%
Mar 18,3.51%
Mar 19,3.89%
Mar 20,3.68%
Mar 21,4.4%
Mar 22,3.41%
Mar 23,4.51%
Mar 24,5.47%
Mar 25,3.86%
Mar 26,3.53%
Mar 27,4.17%
Mar 28,6.84%
Mar 29,4.92%
Mar 30,4.72%
Mar 31,4.91%
Apr 01,5.32%
Apr 02,8.96%
Apr 03,5.94%
Apr 04,4.21%
Apr 05,7.79%
Apr 06,4.91%
Apr 07,6.62%
Apr 08,4.1%
Apr 09,3.75%
Apr 10,3.07%
Apr 11,6.94%
Apr 12,4.59%
Apr 13,2.49%
Apr 14,4.39%
Apr 15,2.89%
Apr 16,4.19%
Apr 17,2.62%
Apr 18,4.61%
Apr 19,3.7%
Apr 20,2.81%
Apr 21,2.06%
Apr 22,2.62%
Apr 23,2.85%
Apr 24,2.23%
Apr 25,2.82%
Apr 26,5.07%
Apr 27,2.55%
Apr 28,2.37%
Apr 29,2.71%
Apr 30,1.95%
May 01,2.37%
May 02,3.2%
May 03,3.11%
May 04,2.91%
May 05,2.5%
May 06,1.62%
May 07,1.72%
May 08,1.8%
May 09,1.92%
May 10,2.69%
May 11,2.14%
May 12,2.46%
May 13,1.55%
May 14,1.74%
May 15,1.33%
May 16,1.11%
May 17,2.23%
May 18,1.94%
May 19,2.26%
May 20,1.85%
May 21,1.77%
May 22,1.46%
May 23,2.41%
May 24,1.68%
May 25,1.93%
May 26,1.89%
May 27,1.35%
May 28,1.36%
May 29,1.61%
May 30,1.88%
May 31,1.88%
Jun 01,1.97%
Jun 02,1.29%
Jun 03,0.95%
Jun 04,1.91%
Jun 05,2.11%
Jun 06,3.2%
Jun 07,3.69%
Jun 08,3.43%
Jun 09,1.37%
Jun 10,2.79%
Jun 11,1.71%
Jun 12,2.43%
Jun 13,1.91%
Jun 14,2.98%
Jun 15,2.13%
Jun 16,1.95%
Jun 17,1.32%
Jun 18,1.13%
Jun 19,1.34%
Jun 20,1.45%
Jun 21,2.09%
Jun 22,1.42%
Jun 23,1.31%
Jun 24,1.18%
Jun 25,1.24%
