Month,Exchange rate of 100 euros
Oct 2020,744.24
Sep 2020,744.18
Aug 2020,744.6
July 2020,744.67
Jun 2020,745.47
May 2020,745.77
Apr 2020,746.14
Mar 2020,747.03
Feb 2020,747.13
Jan 2020,747.29
Dec 2019,747.21
Nov 2019,747.2
Oct 2019,746.93
Sep 2019,746.34
Aug 2019,746.02
Jul 2019,746.56
Jun 2019,746.68
May 2019,746.74
Apr 2019,746.49
Mar 2019,746.25
Feb 2019,746.27
Jan 2019,746.57
Dec 2018,746.51
Nov 2018,746.11
Oct 2018,745.97
Sep 2018,745.83
Aug 2018,745.58
Jul 2018,745.23
Jun 2018,744.97
May 2018,744.81
