Year,Number of recipients
2015,12948
2014,14946
2013,16958
2012,19490
2011,21944
2010,25293
2009,28558
2008,32411
2007,36231
2006,40018
2005,46609
2004,52362
2003,64237
2002,71584
2001,79518
2000,89355
1999,98977
1998,109271
1997,119233
1996,131143
1995,143011
1994,155172
1993,168365
1992,182396
1991,196419
1990,210678
1989,225764
1988,241626
1987,258988
1986,275783
1985,294846
1984,313822
1983,333358
1982,354569
1981,376505
1980,399477
1979,418948
1978,439970
1977,457399
1976,469655
1975,482311
1974,487216
1973,461491
1972,298963
1971,231729
1970,111976
