Project,Average cost in U.S. dollars
Master suite (upscale),224989
Two-story addition,155365
Major kitchen remodel (upscale),109935
Master suite (mid-range),103844
Garage addition (upscale),82311
Family room,80765
Sunroom,73546
Bathroom addition (upscale),72538
Basement remodel,62834
Major kitchen remodel (mid-range),54909
Bathroom remodel (upscale),51374
Garage addition (mid-range),49911
Attic bedroom,49438
Bathroom addition (mid-range),38186
Roofing replacement (upscale),34495
Home office remodel,28000
Roofing replacement (mid-range),18913
Minor kitchen remodel,18856
Bathroom remodel (mid-range),16128
Back-up power generator,11742
