Month,Index of services
Jan '19,105.0
Dec '17,104.8
Nov '17,104.7
Oct '17,104.2
Sep '17,104.2
Aug '17,104.2
Jul '17,104.1
Jun '17,104.1
May '17,103.9
Apr '17,103.6
Mar '17,103.7
Feb '17,103.4
Jan '17,103.6
Dec '16,103.6
Nov '16,103.4
Oct '16,103.3
Sep '16,103.2
Aug '16,102.9
Jul '16,102.5
Jun '16,102.2
May '16,102.0
Apr '16,102.0
Mar '16,101.6
Feb '16,102.0
Jan '16,101.5
Dec '15,107.6
Nov '15,107.0
Oct '15,106.5
Sep '15,106.4
Aug '15,105.8
Jul '15,105.9
Jun '15,105.9
May '15,105.4
Apr '15,105.2
Mar '15,105.2
Feb '15,105.0
Jan '15,104.8
Dec '14,105.1
Nov '14,104.9
Oct '14,104.8
Sep '14,104.1
Aug '14,103.8
Jul '14,103.7
