Year,Number of deaths
2020*,2
2019,1
2018,2
2017,1
2016,0
2015,4
2014,6
2013,9
2012,44
2011,48
2010,103
2009,109
2008,55
2007,91
2006,73
2005,27
2004,29
2003,61
2002,12
2001,15
2000,15
1999,12
1998,22
1997,12
1996,21
1995,33
1994,32
1993,26
1992,36
1991,73
1990,45
1989,55
1988,56
1987,40
1986,40
1985,16
1984,37
1983,44
1982,297
1981,47
1980,53
1979,90
1978,49
1977,54
1976,64
1975,67
1974,87
1973,104
1972,173
1971,71
1970,13
1969,7
1968,0
1967,74
1966,66
1965,100
1964,88
1963,31
1962,9
1961,2
1960,39
1959,67
1958,161
1957,127
1956,306
1955,145
1954,229
1953,456
1952,566
1951,829
1950,290
1949,239
1948,329
1947,279
1946,246
1945,30
