newspaper,Circulation in thousands
Wall Street Journal,1064
New York Times,528
Washington Post,330
Los Angeles Times,328
USA Today,299
Chicago Tribune,266
New York Post,245
New York Daily News,228
Newsday,217
Minneapolis Star-Tribune,184
Houston Chronicle,169
Arizona Republic,164
Denver Post,156
Cleveland Plain Dealer,153
Tampa Bay Times,141
Dallas Morning News,140
Boston Globe,140
Philadelphia Inquirer,138
Chicago Sun-Times,118
San Diego Union-Tribune,117
Newark Star-Ledger,114
Orange County Register,110
Honolulu Star-Advertiser,94
Atlanta Journal-Constitution,92
Las Vegas Review-Journal,90
