World leader,Twitter followers in millions
"Donald J. Trump, United States  @RealDonaldTrump",81.1
"Narendra Modi, India  @NarendraModi (personal account)",57.9
"Pope Francis, Vatican  @Pontifex*",51.2
"Narendra Modi, India  @PMOIndia (institutional account)",35.9
"President Trump, United States @POTUS",30.2
"The White House, United States @WhiteHouse",22.8
"Recep Tayyip Erdoğan, Turkey  @RTErdogan",16.1
"Joko Widodo, Indonesia @Jokowi",13.8
"Imran Khan, Pakistan @imrankhanpti",11.8
"Queen Rania, Jordan @QueenRania",10.4
