Month,Price in British pounds per kilogram
Nov '19,1.17
Oct '19,0.96
Sep '19,1.09
Mar '19,1.19
Feb '19,1.12
Jan '19,1.07
Dec '18,0.92
Nov '18,0.89
Oct '18,0.88
Sep '18,0.93
Mar '18,0.82
Feb '18,0.94
Jan '18,0.96
Dec '17,0.86
Nov '17,0.82
Oct '17,0.77
Sep '17,0.98
Aug '17,1.1
May '17,0.96
Apr '17,0.91
Mar '17,0.73
Feb '17,0.7
Jan '17,0.72
Dec '16,0.74
Nov '16,0.69
Oct '16,0.7
Sep '16,0.88
May '16,0.89
Apr '16,0.7
Mar '16,0.76
Feb '16,0.72
Jan '16,0.65
Dec '15,0.58
Nov '15,0.57
Oct '15,0.66
Sep '15,1.0
Mar '15,0.7
Feb '15,0.77
Jan '15,0.73
