320,Number of deaths
"January 3, 2020",22734
"December 27, 2020",21237
"December 20, 2020",19880
"December 13, 2020",18819
"December 6, 2020",17740
"November 29, 2020",16815
"November 22, 2020",15884
"November 15, 2020",15211
"November 8, 2020",14614
"November 1, 2020",13943
"October 25, 2020",13299
"October 18, 2020",12511
"October 11, 2020",11844
"October 4, 2020",11151
"September 27, 2020",10386
"September 20, 2020",9553
"September 13, 2020",8723
"September 6, 2020",8025
"August 30, 2020",7343
"August 23, 2020",6594
"August 16, 2020",6150
"August 9, 2020",5723
"August 2, 2020",5236
"July 26, 2020",4781
"July 19, 2020",4143
"July 12, 2020",3606
"July 5, 2020",3171
"June 28, 2020",2754
"June 21, 2020",2465
"June 14, 2020",2134
"June 8, 2020",1883
"June 1, 2020",1641
"May 25, 2020",1372
"May 13, 2020",1028
"May 6, 2020",895
"April 28, 2020",773
"April 20, 2020",590
"April 13, 2020",399
"April 6, 2020",209
"March 30, 2020",122
"March 23, 2020",49
"March 13, 2020",4
