Month,Number of healed people
"Jan 8, 2021",186449
"Jan 7, 2021",179541
"Jan 6, 2021",179541
"Jan 5, 2021",176576
"Jan 4, 2021",174070
"Jan 3, 2021",168381
"Jan 2, 2021",163403
"Jan 1, 2021",157063
"Dec 31, 2020",150102
"Dec 30, 2020",144234
"Dec 29, 2020",138365
"Dec 28, 2020",134344
"Dec 27, 2020",130420
"Dec 26, 2020",126482
"Dec 25, 2020",123989
"Dec 24, 2020",120529
"Dec 23, 2020",114631
"Dec 22, 2020",108676
"Dec 21, 2020",102962
"Dec 20, 2020",97443
"Dec 19, 2020",93323
"Dec 18, 2020",89814
"Dec 17, 2020",86954
"Dec 16, 2020",83940
"Dec 15, 2020",83115
"Dec 14, 2020",82546
"Dec 13, 2020",80752
"Dec 12, 2020",79769
"Dec 11, 2020",78700
"Dec 10, 2020",77362
"Dec 9, 2020",76270
"Dec 8, 2020",75281
"Dec 7, 2020",74283
"Dec 6, 2020",71682
"Dec 5, 2020",70396
"Dec 4, 2020",68525
"Dec 3, 2020",67033
"Dec 2, 2020",65888
"Dec 1, 2020",64802
"Nov 30, 2020",63860
"Nov 29, 2020",55637
"Nov 28, 2020",54021
"Nov 27, 2020",52126
"Nov 26, 2020",49616
"Nov 25, 2020",44020
"Nov 24, 2020",44020
"Nov 23, 2020",43339
"Nov 22, 2020",42915
"Nov 21, 2020",40820
"Nov 20, 2020",38074
"Nov 19, 2020",36345
"Nov 18, 2020",34846
"Nov 17, 2020",34185
"Nov 16, 2020",34010
"Nov 15, 2020",31599
"Nov 14, 2020",31126
"Nov 13, 2020",29802
"Nov 12, 2020",29302
"Nov 11, 2020",28808
"Nov 10, 2020",27585
"Nov 9, 2020",26161
"Nov 8, 2020",25070
"Nov 7, 2020",24847
"Nov 6, 2020",23123
"Nov 5, 2020",22823
"Nov 4, 2020",21232
"Nov 3, 2020",20856
"Nov 2, 2020",20476
"Nov 1, 2020",20078
"Oct 31, 2020",19032
"Oct 30, 2020",17953
"Oct 29, 2020",17469
"Oct 28, 2020",17098
"Oct 27, 2020",16646
"Oct 26, 2020",16491
"Oct 25, 2020",16242
"Oct 24, 2020",16007
"Oct 23, 2020",15655
"Oct 22, 2020",15254
"Oct 21, 2020",14905
"Oct 20, 2020",14637
"Oct 19, 2020",14312
"Oct 18, 2020",14088
"Oct 17, 2020",13580
"Oct 16, 2020",13134
"Oct 15, 2020",12628
"Oct 14, 2020",12164
"Oct 13, 2020",11753
"Oct 12, 2020",11037
"Oct 11, 2020",10848
"Oct 10, 2020",9683
"Oct 9, 2020",9202
"Oct 8, 2020",9187
"Oct 7, 2020",9149
"Oct 6, 2020",8723
"Oct 5, 2020",8165
"Oct 4, 2020",7470
"Oct 3, 2020",6824
"Oct 2, 2020",6349
"Oct 1, 2020",6118
"Sep 30, 2020",5890
"Sep 29, 2020",5173
"Sep 28, 2020",5152
"Sep 27, 2020",5141
"Sep 26, 2020",5099
"Sep 25, 2020",4945
"Sep 24, 2020",4818
"Sep 23, 2020",4644
"Sep 22, 2020",4559
"Sep 21, 2020",4401
"Sep 20, 2020",4391
"Sep 19, 2020",4382
"Sep 18, 2020",4240
"Sep 17, 2020",4227
"Sep 16, 2020",4153
"Sep 15, 2020",4130
"Sep 14, 2020",4117
"Sep 13, 2020",4069
"Sep 12, 2020",4058
"Sep 11, 2020",4014
"Sep 10, 2020",3990
"Sep 9, 2020",3984
"Sep 8, 2020",3972
"Sep 7, 2020",3961
"Sep 6, 2020",3958
"Sep 5, 2020",3952
"Sep 4, 2020",3944
"Sep 3, 2020",3930
"Sep 2, 2020",3903
"Sep 1, 2020",3821
"Aug 31, 2020",3761
"Aug 30, 2020",3759
"Aug 29, 2020",3759
"Aug 28, 2020",3759
"Aug 27, 2020",3757
"Aug 26, 2020",3734
"Aug 25, 2020",3716
"Aug 24, 2020",3695
"Aug 23, 2020",3695
"Aug 22, 2020",3692
"Aug 21, 2020",3681
"Aug 20, 2020",3678
"Aug 19, 2020",3665
"Aug 18, 2020",3631
"Aug 17, 2020",3630
"Aug 16, 2020",3623
"Aug 15, 2020",3606
"Aug 14, 2020",3590
"Aug 13, 2020",3561
"Aug 12, 2020",3529
"Aug 11, 2020",3527
"Aug 10, 2020",3525
"Aug 9, 2020",3499
"Aug 8, 2020",3491
"Aug 7, 2020",3464
"Aug 6, 2020",3463
"Aug 5, 2020",3431
"Aug 4, 2020",3415
"Aug 3, 2020",3413
"Aug 2, 2020",3389
"Aug 1, 2020",3364
"Jul 31, 2020",3353
"Jul 30, 2020",3346
"Jul 29, 2020",3339
"Jul 28, 2020",3331
"Jul 27, 2020",3329
"Jul 26, 2020",3329
"Jul 25, 2020",3324
"Jul 24, 2020",3312
"Jul 23, 2020",3300
"Jul 22, 2020",3283
"Jul 21, 2020",3257
"Jul 20, 2020",3232
"Jul 19, 2020",3223
"Jul 18, 2020",3222
"Jul 17, 2020",3220
"Jul 16, 2020",3156
"Jul 15, 2020",3126
"Jul 14, 2020",3106
"Jul 13, 2020",3073
"Jul 12, 2020",3036
"Jul 11, 2020",2974
"Jul 10, 2020",2941
"Jul 9, 2020",2887
"Jul 8, 2020",2885
"Jul 7, 2020",2874
"Jul 6, 2020",2860
"Jul 5, 2020",2811
"Jul 4, 2020",2784
"Jul 3, 2020",2752
"Jul 2, 2020",2721
"Jul 1, 2020",2714
"Jun 30, 2020",2692
"Jun 29, 2020",2685
"Jun 28, 2020",2685
"Jun 27, 2020",2681
"Jun 26, 2020",2663
"Jun 25, 2020",2640
"Jun 24, 2020",2618
"Jun 23, 2020",2600
"Jun 22, 2020",2590
"Jun 21, 2020",2589
"Jun 20, 2020",2585
"Jun 19, 2020",2581
"Jun 18, 2020",2564
"Jun 17, 2020",2547
"Jun 16, 2020",2516
"Jun 15, 2020",2485
"Jun 14, 2020",2482
"Jun 13, 2020",2476
"Jun 12, 2020",2447
"Jun 11, 2020",2391
"Jun 10, 2020",2355
"Jun 9, 2020",2324
"Jun 8, 2020",2284
"Jun 7, 2020",2279
"Jun 6, 2020",2279
"Jun 5, 2020",2245
"Jun 4, 2020",2205
"Jun 3, 2020",2190
"Jun 2, 2020",2160
"Jun 1, 2020",2156
"May 31, 2020",2147
"May 30, 2020",2142
"May 29, 2020",2024
"May 28, 2020",1996
"May 27, 2020",1856
"May 26, 2020",1836
"May 25, 2020",1711
"May 24, 2020",1690
"May 23, 2020",1655
"May 22, 2020",1587
"May 21, 2020",1509
"May 20, 2020",1454
"May 19, 2020",1412
"May 18, 2020",1400
"May 17, 2020",1396
"May 16, 2020",1371
"May 15, 2020",1287
"May 14, 2020",1169
"May 13, 2020",1102
"May 12, 2020",1007
"May 11, 2020",958
"May 10, 2020",933
"May 9, 2020",904
"May 8, 2020",865
"May 7, 2020",801
"May 6, 2020",759
"May 5, 2020",709
"May 4, 2020",630
"May 3, 2020",629
"May 2, 2020",625
"May 1, 2020",609
"Apr 30, 2020",581
"Apr 29, 2020",536
"Apr 28, 2020",516
"Apr 27, 2020",498
"Apr 26, 2020",485
"Apr 25, 2020",458
"Apr 24, 2020",401
"Apr 23, 2020",390
"Apr 22, 2020",295
"Apr 21, 2020",287
"Apr 20, 2020",267
"Apr 19, 2020",250
"Apr 18, 2020",231
"Apr 17, 2020",207
"Apr 16, 2020",199
"Apr 15, 2020",192
"Apr 14, 2020",122
"Apr 13, 2020",120
"Apr 12, 2020",118
"Apr 11, 2020",115
"Apr 10, 2020",112
"Apr 9, 2020",96
"Apr 8, 2020",94
"Apr 7, 2020",71
"Apr 6, 2020",67
"Apr 5, 2020",66
"Apr 4, 2020",58
"Apr 3, 2020",43
"Apr 2, 2020",42
"Apr 1, 2020",40
"Mar 31, 2020",37
"Mar 30, 2020",34
"Mar 29, 2020",34
"Mar 28, 2020",34
"Mar 27, 2020",34
"Mar 26, 2020",21
"Mar 25, 2020",21
"Mar 24, 2020",21
"Mar 23, 2020",21
"Mar 22, 2020",16
"Mar 21, 2020",7
"Mar 20, 2020",7
