Month,Number of cases
"Nov 25, 2020",5312
"Nov 24, 2020",5298
"Nov 23, 2020",5289
"Nov 22, 2020",5277
"Nov 21, 2020",5269
"Nov 20, 2020",5251
"Nov 19, 2020",5231
"Nov 18, 2020",5226
"Nov 17, 2020",5215
"Nov 16, 2020",5205
"Nov 15, 2020",5189
"Nov 14, 2020",5186
"Nov 13, 2020",5170
"Nov 12, 2020",5160
"Nov 11, 2020",5142
"Nov 10, 2020",5114
"Nov 9, 2020",5101
"Nov 8, 2020",5078
"Nov 7, 2020",5078
"Nov 6, 2020",5063
"Nov 5, 2020",5039
"Nov 4, 2020",5017
"Nov 3, 2020",4989
"Nov 2, 2020",4958
"Nov 1, 2020",4930
"Oct 31, 2020",4898
"Oct 30, 2020",4870
"Oct 29, 2020",4810
"Oct 28, 2020",4733
"Oct 27, 2020",4691
"Oct 26, 2020",4589
"Oct 25, 2020",4522
"Oct 24, 2020",4458
"Oct 23, 2020",4398
"Oct 22, 2020",4321
"Oct 21, 2020",4285
"Oct 20, 2020",4236
"Oct 19, 2020",4191
"Oct 18, 2020",4121
"Oct 17, 2020",4059
"Oct 16, 2020",4003
"Oct 15, 2020",3931
"Oct 14, 2020",3864
"Oct 13, 2020",3766
"Oct 12, 2020",3676
"Oct 11, 2020",3554
"Oct 10, 2020",3502
"Oct 9, 2020",3442
"Oct 8, 2020",3349
"Oct 7, 2020",3247
"Oct 6, 2020",3146
"Oct 5, 2020",3059
"Oct 4, 2020",2960
"Oct 3, 2020",2897
"Oct 2, 2020",2848
"Oct 1, 2020",2786
"Sep 30, 2020",2745
"Sep 29, 2020",2705
"Sep 28, 2020",2672
"Sep 27, 2020",2640
"Sep 26, 2020",2598
"Sep 25, 2020",2576
"Sep 24, 2020",2536
"Sep 23, 2020",2490
"Sep 22, 2020",2454
"Sep 21, 2020",2396
"Sep 20, 2020",2359
"Sep 19, 2020",2327
"Sep 18, 2020",2288
"Sep 17, 2020",2213
"Sep 16, 2020",2192
"Sep 15, 2020",2170
"Sep 14, 2020",2157
"Sep 13, 2020",2150
"Sep 12, 2020",2147
"Sep 11, 2020",2145
"Sep 10, 2020",2144
"Sep 9, 2020",2143
"Sep 8, 2020",2138
"Sep 7, 2020",2133
"Sep 6, 2020",2126
"Sep 5, 2020",2124
"Sep 4, 2020",2121
"Sep 3, 2020",2120
"Sep 2, 2020",2114
"Sep 1, 2020",2110
"Aug 31, 2020",2100
"Aug 30, 2020",2095
"Aug 29, 2020",2094
"Aug 28, 2020",2089
"Aug 27, 2020",2081
"Aug 26, 2020",2078
"Aug 25, 2020",2071
"Aug 24, 2020",2064
"Aug 23, 2020",2061
"Aug 22, 2020",2054
"Aug 21, 2020",2049
"Aug 20, 2020",2038
"Aug 19, 2020",2027
"Aug 18, 2020",2024
"Aug 17, 2020",2019
"Aug 16, 2020",2014
"Aug 15, 2020",2005
"Aug 14, 2020",1995
"Aug 13, 2020",1988
"Aug 12, 2020",1980
"Aug 11, 2020",1970
"Aug 10, 2020",1966
"Aug 9, 2020",1961
"Aug 8, 2020",1957
"Aug 7, 2020",1953
"Aug 6, 2020",1948
"Aug 5, 2020",1930
"Aug 4, 2020",1926
"Aug 3, 2020",1917
"Aug 2, 2020",1914
"Aug 1, 2020",1906
"Jul 31, 2020",1893
"Jul 30, 2020",1885
"Jul 29, 2020",1874
"Jul 28, 2020",1862
"Jul 27, 2020",1858
"Jul 26, 2020",1854
"Jul 25, 2020",1848
"Jul 24, 2020",1844
"Jul 23, 2020",1843
"Jul 22, 2020",1841
"Jul 21, 2020",1840
"Jul 20, 2020",1840
"Jul 19, 2020",1839
"Jul 18, 2020",1838
"Jul 17, 2020",1836
"Jul 16, 2020",1836
"Jul 15, 2020",1835
"Jul 14, 2020",1835
"Jul 13, 2020",1833
"Jul 12, 2020",1833
"Jul 11, 2020",1833
"Jul 10, 2020",1833
"Jul 09, 2020",1833
"Jul 08, 2020",1833
"Jul 07, 2020",1833
"Jul 06, 2020",1832
"Jul 05, 2020",1830
"Jul 04, 2020",1830
"Jul 03, 2020",1830
"Jul 02, 2020",1830
"Jul 01, 2020",1825
"Jun 30, 2020",1824
"Jun 29, 2020",1822
"Jun 28, 2020",1821
"Jun 27, 2020",1820
"Jun 26, 2020",1820
"Jun 25, 2020",1818
"Jun 24, 2020",1817
"Jun 23, 2020",1815
"Jun 22, 2020",1815
"Jun 21, 2020",1815
"Jun 20, 2020",1815
"Jun 19, 2020",1815
"Jun 18, 2020",1814
"Jun 17, 2020",1812
"Jun 16, 2020",1812
"Jun 15, 2020",1811
"Jun 14, 2020",1810
"Jun 13, 2020",1810
"Jun 12, 2020",1808
"Jun 11, 2020",1807
"Jun 10, 2020",1807
"Jun 09, 2020",1807
"Jun 08, 2020",1807
"Jun 07, 2020",1807
"Jun 06, 2020",1807
"Jun 05, 2020",1807
"Jun 04, 2020",1806
"Jun 03, 2020",1806
"Jun 02, 2020",1806
"Jun 01, 2020",1806
"May 31, 2020",1806
"May 30, 2020",1806
"May 29, 2020",1806
"May 28, 2020",1805
"May 27, 2020",1805
"May 26, 2020",1805
"May 25, 2020",1804
"May 24, 2020",1804
"May 23, 2020",1804
"May 22, 2020",1804
"May 21, 2020",1803
"May 20, 2020",1803
"May 19, 2020",1803
"May 18, 2020",1802
"May 17, 2020",1802
"May 16, 2020",1802
"May 15, 2020",1802
"May 14, 2020",1802
"May 13, 2020",1802
"May 12, 2020",1802
"May 11, 2020",1801
"May 10, 2020",1801
"May 09, 2020",1801
"May 08, 2020",1801
"May 07, 2020",1801
"May 06, 2020",1801
"May 05, 2020",1799
"May 04, 2020",1799
"May 03, 2020",1799
"May 02, 2020",1799
"May 01, 2020",1798
"Apr 30, 2020",1798
"Apr 29, 2020",1797
"Apr 28, 2020",1797
"Apr 27, 2020",1795
"Apr 26, 2020",1792
"Apr 25, 2020",1792
"Apr 24, 2020",1790
"Apr 23, 2020",1789
"Apr 22, 2020",1789
"Apr 21, 2020",1785
"Apr 20, 2020",1778
"Apr 19, 2020",1773
"Apr 18, 2020",1771
"Apr 17, 2020",1760
"Apr 16, 2020",1754
"Apr 15, 2020",1739
"Apr 14, 2020",1727
"Apr 13, 2020",1720
"Apr 12, 2020",1711
"Apr 11, 2020",1701
"Apr 10, 2020",1689
"Apr 09, 2020",1675
"Apr 08, 2020",1648
"Apr 07, 2020",1616
"Apr 06, 2020",1586
"Apr 05, 2020",1562
"Apr 04, 2020",1488
"Apr 03, 2020",1418
"Apr 02, 2020",1364
"Apr 01, 2020",1319
"Mar 31, 2020",1220
"Mar 30, 2020",1137
"Mar 29, 2020",1086
"Mar 28, 2020",1020
"Mar 27, 2020",964
"Mar 26, 2020",893
"Mar 25, 2020",806
"Mar 24, 2020",764
"Mar 23, 2020",658
"Mar 22, 2020",591
"Mar 21, 2020",569
"Mar 20, 2020",477
"Mar 19, 2020",417
"Mar 18, 2020",339
"Mar 17, 2020",262
"Mar 16, 2020",209
"Mar 15, 2020",186
"Mar 14, 2020",166
"Mar 13, 2020",142
"Mar 12, 2020",122
"Mar 11, 2020",106
"Mar 10, 2020",82
"Mar 09, 2020",68
"Mar 08, 2020",59
"Mar 07, 2020",54
"Mar 06, 2020",47
"Mar 05, 2020",37
"Mar 04, 2020",29
"Mar 03, 2020",15
"Mar 02, 2020",10
"Mar 01, 2020",4
"Feb 29, 2020",1
"Feb 28, 2020",1
