Month,Number of deaths
Jan 07 '21,186
Jan 06 '21,553
Jan 05 '21,341
Jan 04 '21,42
Jan 03 '21,61
Jan 02 '21,102
Jan 01 '21,400
Dec 31,532
Dec 30,565
Dec 29,307
Dec 28,29
Dec 27,57
Dec 26,69
Dec 25,240
Dec 24,497
Dec 23,472
Dec 22,309
Dec 21,77
Dec 20,143
Dec 19,483
Dec 18,426
Dec 17,431
Dec 16,605
Dec 15,349
Dec 14,96
Dec 13,188
Dec 12,502
Dec 11,544
Dec 10,470
Dec 09,568
Dec 08,411
Dec 07,92
Dec 06,228
Dec 05,502
Dec 04,531
Dec 03,620
Dec 02,609
Dec 01,449
Nov 30,121
Nov 29,283
Nov 28,599
Nov 27,579
Nov 26,580
Nov 25,674
Nov 24,540
Nov 23,156
Nov 22,330
Nov 21,574
Nov 20,626
Nov 19,637
Nov 18,603
Nov 17,357
Nov 16,143
Nov 15,303
Nov 14,548
Nov 13,419
Nov 12,275
Nov 11,429
Nov 10,330
Nov 09,173
Nov 08,236
Nov 07,349
Nov 06,445
Nov 05,367
Nov 04,372
Nov 03,227
Nov 02,92
Nov 01,152
Oct 31,280
Oct 30,202
Oct 29,301
Oct 28,234
Oct 27,132
Oct 26,45
Oct 25,87
Oct 24,178
Oct 23,153
Oct 22,168
Oct 21,130
Oct 20,107
Oct 19,41
Oct 18,49
Oct 17,84
Oct 16,132
Oct 15,91
Oct 14,116
Oct 13,63
Oct 12,35
Oct 11,31
Oct 10,53
Oct 09,52
Oct 08,76
Oct 07,75
Oct 06,58
Oct 05,29
Oct 04,26
Oct 03,34
Oct 02,27
Oct 01,30
Sep 30,30
Sep 29,36
Sep 28,15
Sep 27,8
Sep 26,32
Sep 25,23
Sep 24,25
Sep 23,28
Sep 22,18
Sep 21,5
Sep 20,11
Sep 19,12
Sep 18,17
Sep 17,16
Sep 16,10
Sep 15,24
Sep 14,15
Sep 13,6
Sep 12,13
Sep 11,10
Sep 10,12
Sep 09,11
Sep 08,12
Sep 07,3
Sep 06,7
Sep 05,13
Sep 04,8
Sep 03,14
Sep 02,20
Sep 01,19
Aug 31,6
Aug 30,1
Aug 29,14
Aug 28,9
Aug 27,15
Aug 26,17
Aug 25,17
Aug 24,5
Aug 23,4
Aug 22,13
Aug 21,13
Aug 20,12
Aug 19,17
Aug 18,11
Aug 17,8
Aug 16,8
Aug 15,11
Aug 14,15
Aug 13,13
Aug 12,9
Aug 11,12
Aug 10,2
Aug 09,7
Aug 08,13
Aug 07,13
Aug 06,18
Aug 05,18
Aug 04,6
Aug 03,1
Aug 02,10
Aug 01,5
Jul 31,7
Jul 30,15
Jul 29,12
Jul 28,6
Jul 27,5
Jul 26,7
Jul 25,9
Jul 24,4
Jul 23,9
Jul 22,6
Jul 21,9
Jul 20,4
Jul 19,6
Jul 18,6
Jul 17,7
Jul 16,10
Jul 15,6
Jul 14,12
Jul 13,5
Jul 12,3
Jul 11,6
Jul 10,11
Jul 09,9
Jul 08,15
Jul 07,7
Jul 06,4
Jul 05,5
Jul 04,4
Jul 03,14
Jul 02,15
Jul 01,14
Jun 30,19
Jun 29,6
Jun 28,4
Jun 27,6
Jun 26,17
Jun 25,16
Jun 24,21
Jun 23,16
Jun 22,3
Jun 21,10
Jun 20,12
Jun 19,18
Jun 18,30
Jun 17,14
Jun 16,16
Jun 15,9
Jun 14,10
Jun 13,15
Jun 12,7
Jun 11,9
Jun 10,23
Jun 09,19
Jun 08,9
Jun 07,4
Jun 06,14
Jun 05,20
Jun 04,2
Jun 03,23
Jun 02,18
Jun 01,10
May 31,3
May 30,10
May 29,13
May 28,10
May 27,4
May 26,17
May 25,11
May 24,3
May 23,11
May 22,10
May 21,10
May 20,14
May 19,12
May 18,11
May 17,10
May 16,8
May 15,24
May 14,22
May 13,23
May 12,28
May 11,11
May 10,15
May 09,9
May 08,20
May 07,22
May 06,18
May 05,19
May 04,19
May 03,15
May 02,12
May 01,7
Apr 30,20
Apr 29,28
Apr 28,34
Apr 27,26
Apr 26,12
Apr 25,30
Apr 24,40
Apr 23,28
Apr 22,25
Apr 21,20
Apr 20,20
Apr 19,13
Apr 18,15
Apr 17,18
Apr 16,28
Apr 15,23
Apr 14,18
Apr 13,13
Apr 12,24
Apr 11,27
Apr 10,7
Apr 09,16
Apr 08,29
Apr 07,22
Apr 06,13
Apr 05,15
Apr 04,8
Apr 03,14
Apr 02,14
Apr 01,10
Mar 31,2
Mar 30,9
Mar 29,4
Mar 28,2
Mar 27,0
Mar 26,3
Mar 25,3
Mar 24,2
Mar 23,1
Mar 22,2
Mar 21,0
Mar 20,0
Mar 19,0
Mar 18,0
Mar 17,1
Mar 16,1
Mar 15,0
Mar 14,1
Mar 13,1
Mar 12,1
Mar 11,0
Mar 10,0
