Country,GDP per capita international dollars (at purchasing power parity)
Macao SAR,121763.76
Luxembourg,120490.33
Singapore,101458.1
Qatar,95107.74
Ireland,91958.85
Switzerland,72008.02
Norway,66214.05
United States,65253.52
United Arab Emirates,63589.8
San Marino,63133.0
Hong Kong SAR,62267.4
Brunei Darussalam,61032.84
Denmark,59719.02
Netherlands,59693.37
Iceland,58965.05
Austria,58849.55
Germany,56226.22
Sweden,55264.97
Belgium,54028.79
Taiwan Province of China,53274.55
Australia,52725.75
Bahrain,51891.51
Canada,51190.13
Finland,50748.17
France,49798.55
