Major occupational group,Employment change in percent
Healthcare support,18.2%
Personal care and service,17.4%
Computer and mathematical,12.7%
Healthcare practitioners and technical,11.9%
Community and social service,11.2%
Food preparation and serving related,10.9%
Construction and extraction,9.8%
"Life, physical, and social science",7.4%
Management,6.9%
Legal,6.9%
Business and financial operations,6.9%
"Education, training, and library",5.3%
Building and grounds cleaning and maintenance,5.1%
Transportation and material moving,4.5%
Architecture and engineering,4.2%
"Installation, maintenance, and repair",3.8%
"Arts, design, entertainment, sports, and media",3.3%
Protective service,2.7%
"Farming, fishing, and forestry",0.3%
Sales and related,-0.5%
Office and administrative support,-2.6%
Production,-4.5%
