Response,Share of respondents
Coffee pods are far too expensive,35%
"Pod coffee is for other people, it isn't really my thing",27%
"Coffee pods make better quality coffee than instant coffee, and they're worth the premium",23%
I would buy coffee pods/a pod machine if they were cheaper,18%
Coffee pods make a comparable quality coffee to that in coffee shops,16%
Coffee pods make better quality coffee than ground coffee and are worth the premium,9%
Coffee pods are very bad for the environment,9%
Coffee pods do not make better quality coffee than instant or ground,9%
Pod coffee is for people like me and my family,8%
I've stopped using my coffee pod machine and make coffee using traditional methods,4%
