Year,GDP per capita in U.S. dollars
2025*,9020.36
2024*,8617.72
2023*,8232.06
2022*,7806.21
2021*,7400.79
2020*,7033.08
2019*,7463.97
2018*,7353.64
2017*,7187.49
2016,7033.49
2015,6867.52
2014,6622.44
2013,6569.79
2012,6318.54
2011,6171.48
2010,6224.22
2009,6172.79
2008,6366.7
2007,5973.55
2006,5623.32
2005,5091.59
2004,4847.17
2003,4494.1
2002,4327.55
2001,4047.31
2000,3728.55
1999,3675.55
1998,3513.88
1997,3270.01
1996,3116.21
1995,2969.99
1994,2719.64
1993,2689.61
1992,2610.53
1991,2392.79
1990,2274.42
1989,2047.71
1988,1923.88
1987,1693.04
1986,1561.26
1985,1423.42
