university,Average test score
California Institute of Technology,1544
Massachusetts Institute of Technology,1507
Franklin W. Olin College of Engineering,1506
University of Chicago,1506
Yale University,1498
Vanderbilt University,1498
Harvard University,1497
Princeton University,1490
Harvey Mudd College,1484
Rice University,1482
Stanford University,1479
Columbia University,1473
Washington University in St. Louis,1469
Northwestern University,1460
University of Pennsylvania,1457
Brown University,1457
University of Notre Dame,1455
Johns Hopkins University,1453
Amherst College,1451
Duke University,1450
Carnegie Mellon University,1448
Williams College,1442
Webb Institute,1442
Dartmouth College,1437
Pomona College,1435
