Month,Number of new patients
Dec 20,128
Dec 19,195
Dec 18,199
Dec 17,204
Dec 16,194
Dec 15,214
Dec 14,121
Dec 13,185
Dec 12,188
Dec 11,183
Dec 10,200
Dec 9,185
Dec 8,210
Dec 7,145
Dec 6,147
Dec 5,214
Dec 4,218
Dec 3,189
Dec 2,232
Dec 1,201
Nov 30,122
Nov 29,138
Nov 28,211
Nov 27,235
Nov 26,254
Nov 25,274
Nov 24,286
Nov 23,206
Nov 22,209
Nov 21,256
Nov 20,313
Nov 19,349
Nov 18,356
Nov 17,372
Nov 16,276
Nov 15,294
Nov 14,450
Nov 13,509
Nov 12,403
Nov 11,544
Nov 10,609
Nov 9,434
Nov 8,403
Nov 7,500
NOv 6,593
Nov 5,559
Nov 4,653
Nov 3,879
Nov 2,595
Nov 1,555
Oct 31,684
Oct 30,720
Oct 29,673
Oct 28,743
Oct 27,690
Oct 26,527
Oct 25,509
Oct 24,593
Oct 23,594
Oct 22,496
Oct 21,423
Oct 20,411
Oct 19,263
Oct 18,263
Oct 17,352
Oct 16,240
Oct 15,284
Oct 14,255
Oct 13,211
Oct 12,165
Oct 11,131
Oct 10,160
Oct 9,142
Oct 8,124
Oct 7,132
Oct 6,104
Oct 5,87
Oct 4,86
Oct 3,73
Oct 2,66
Oct 1,87
Sep 30,84
Sep 29,84
Sep 28,61
Sep 27,46
Sep 26,51
Sep 25,72
Sep 24,83
Sep 23,70
Sep 22,68
Sep 21,58
Sep 20,47
Sep 19,55
Sep 18,48
Sep17,47
Sep 16,42
Sep 15,47
Sep 14,31
Sep 13,41
Sep 12,34
Sep 11,28
Sep 10,23
Sep 9,23
Sep 8,40
Sep 7,24
Sep 6,14
Sep 5,14
Sep 4,18
Sep 3,11
Sep 2,24
Sep 1,24
Aug 31,14
Aug 30,13
Aug 29,6
Aug 28,18
Aug 27,18
Aug 26,20
Aug 25,12
Aug 24,16
Aug 23,16
Aug 22,22
Aug 21,27
Aug 20,25
Aug 19,35
Aug 18,31
Aug 17,14
Aug 16,28
Aug 15,35
Aug 14,28
Aug 13,42
Aug 12,30
Aug 11,48
Aug 10,33
Aug 9,20
Aug 8,31
Aug 7,27
Aug 6,28
Aug 5,21
Aug 4,18
Aug 3,24
Aug 2,23
Aug 1,26
Jul 31,11
Jul 30,20
Jul 29,33
Jul 28,35
Jul 27,20
Jul 26,14
Jul 25,21
Jul 24,28
Jul 23,24
Jul 22,19
Jul 21,5
Jul 20,13
Jul 19,15
Jul 18,23
Jul 17,8
Jul 16,12
Jul 15,9
Jul 14,18
Jul 13,9
Jul 12,7
Jul 11,9
Jul 10,6
Jul 9,10
Jul 8,9
Jul 7,15
Jul 6,9
Jul 5,6
Jul 4,16
Jul 3,5
Jul 2,13
Jul 1,9
Jun 30,17
Jun 29,13
Jun 28,5
Jun 27,16
Jun 26,18
Jun 25,19
Jun 24,16
Jun 23,12
Jun 22,12
Jun 21,10
Jun 20,18
Jun 19,20
Jun 18,19
Jun 17,24
Jun 16,11
Jun 15,17
Jun 14,20
Jun 13,23
Jun 12,32
Jun 11,19
Jun 10,24
Jun 9,16
Jun 8,23
Jun 7,21
Jun 6,26
Jun 5,32
Jun 4,21
Jun 3,31
Jun 2,26
Jun 1,25
May 31,40
May 30,29
May 29,27
May 28,47
May 27,36
May 26,39
May 25,27
May 24,48
May 23,34
May 22,56
May 21,71
May 20,58
May 19,50
May 18,43
May 17,60
May 16,65
May 15,67
May 14,81
May 13,70
May 12,43
May 11,60
May 10,83
May 9,76
May 8,108
May 7,98
May 6,116
May 5,84
May 4,59
May 3,77
May 2,128
May 1,152
Apr 30,178
Apr 29,174
Apr 28,123
Apr 27,127
Apr 26,204
Apr 25,217
Apr 24,210
Apr 23,211
Apr 22,263
Apr 21,172
Apr 20,232
Apr 19,256
Apr 18,303
Apr 17,320
Apr 16,310
Apr 15,250
Apr 14,242
Apr 13,310
Apr 12,392
Apr 11,421
Apr 10,462
Apr 9,459
Apr 8,487
Apr 7,314
Apr 6,420
Apr 5,499
Apr 4,503
Apr 3,578
Apr 2,584
Apr 1,560
Mar 31,485
Mar 30,536
Mar 29,629
Mar 28,575
Mar 27,490
Mar 26,536
Mar 25,293
Mar 24,256
Mar 23,290
Mar 22,335
Mar 21,299
Mar 20,215
