Response,Share of GDP
Manufacturing,13.4%
Real estate and rental and leasing,11.4%
Health care and social assistance,8.88%
Public administration,7.61%
Construction,6.8%
"Professional, scientific and technical services",6.32%
Educational services,6.09%
Retail trade,5.86%
Finance and insurance,5.77%
Wholesale trade,5.45%
Transportation and warehousing,4.67%
Utilities,3.3%
"Administrative and support, waste management and remediation services",2.91%
Information and cultural industries,2.55%
Accommodation and food services,2.29%
Other services (except public administration),2.22%
"Agriculture, forestry, fishing and hunting",1.62%
"Mining, quarrying, and oil and gas extraction",1.47%
"Arts, entertainment and recreation",0.87%
Management of companies and enterprises,0.52%
