nonprofit organization,Number of members
National Wildlife Federation,1261167
World Wildlife Fund - US,1133547
The Nature Conservancy,972000
Sierra Club,778830
Natural Resources Defense Council,600000
Ducks Unlimited,598363
National Audubon Society,500000
Defenders of Wildlife,490000
Environmental Defense Fund,400000
National Parks Conservation Association,297000
The Wilderness Society,275000
Ocean Conservancy,170000
Greenpeace USA,138804
Earthjustice,84000
American Rivers,39000
Izaak Walton League,37520
"Center for Health, Environment, and Justice",31842
Trust for Public Land,31760
League of Conservation Voters,31754
National Park Trust,30000
Friends of the Earth,18000
Sea Shepherd Conservation Society,8000
Earth Island Institute,6000
Conservation International,2974
Conservation Fund,1800
