Month,Index number of sales per week
Jun 20,92.5
May 20,38.0
Apr 20,23.2
Mar 20,76.6
Feb 20,97.1
Jan 20,98.8
Dec 19,99.6
Nov 19,102.5
Oct 19,109.8
Sep 19,104.9
Aug 19,104.7
Jul 19,94.6
Jun 19,109.9
May 19,104.8
Apr 19,104.0
Mar 19,104.1
Feb 19,103.9
Jan 19,99.3
Dec 18,106.3
Nov 18,105.9
Oct 18,102.9
Sep 18,107.2
Aug 18,105.6
Jul 18,102.7
Jun 18,103.0
May 18,103.7
Apr 18,101.5
Mar 18,99.8
Feb 18,104.7
Jan 18,106.7
Dec 17,101.3
Nov 17,103.8
Oct 17,103.3
Sep 17,99.5
Aug 17,94.0
Jul 17,103.9
Jun 17,99.9
May 17,97.4
Apr 17,104.2
Mar 17,99.3
Feb 17,96.9
Jan 17,96.8
Dec 16,98.1
Nov 16,99.8
Oct 16,99.5
Sep 16,99.1
Aug 16,99.1
Jul 16,98.3
Jun 16,97.0
May 16,101.4
Apr 16,101.3
Mar 16,101.9
Feb 16,102.7
Jan 16,102.7
