player name,Number of degrees
Health professions and related programs,80305
Legal professions and studies,34544
Education,12780
Engineering,10817
Biological and biomedical sciences,8222
Psychology,6275
Physical sciences and science technologies,6181
Social sciences and history,4676
Business,3338
Theology and religious vocations,2023
Computer and information sciences,2017
Mathematics and statistics,2010
Visual and performing arts,1759
Agriculture and natural resources,1496
English language and literature/letters,1295
"Foreign languages, literatures, and linguistics",1213
Public administration and social services,1157
Multi/interdisciplinary studies,850
Philosophy and religious studies,768
"Communication, journalism, and related programs",666
"Area, ethnic, cultural, gender, and group studies",335
"Parks, recreation, leisure, and fitness studies",298
Family and consumer sciences/human sciences,274
Architecture and related services,250
Engineering technologies and engineering-related fields,212
"Homeland security, law enforcement, and firefighting",150
"Liberal arts and sciences, general studies,and humanities",93
Library science,54
Transportation and materials moving,16
Construction trades,0
Communications technologies,0
Military technologies and applied sciences,0
Precision production,0
Mechanic and repair technologies/technicians,0
