radiation ,Radiation level in millisievert
Lethal dose,7000.0
Radiation at the reactor in Chernobyl,6000.0
Mortality rate of 50 percent,4000.0
"Dose per hour at the power plant in Fukushima, Tuesday 15 March",400.0
Dose that induces acute radiation sickness,250.0
"Annual dose, which can cause cancer at one percent crude irradiated",100.0
Dose from a whole-body computed tomography,10.0
Average annual dose according to the UN,2.4
Average annual dose according to BfS,2.1
Dose x-ray of the spine,1.2
"First officially measured value at reaktor in Fukushima, Friday 11 March",1.02
