cultural sites in the Ile-de-France region,Number of visitors in thousands
Palace of Versailles,6701
National museum of Château de Fontainebleau,1000
Feline Park,466
Arboretum de la Vallée-aux-Loup,310
Musée de l'Air et de l'Espace,265
Château de Vaux-le-Vicomte,220
Basilique Saint-Denis,191
Château de Vincennes,133
Château de Malmaison,132
Musée d’Archéologie national (St. Germain-en-Laye),124
Musée départemental Albert-Khan,120
Musée de la Grande Guerre du pays de Meaux,106
Stade de France,105
Maison de Chateaubriand,89
Cité de la Céramique,66
Château de Champs-sur-Marne,65
