State,Expenditure as a percentage of state GDP*
United States,3.17%
Vermont,5.35%
New Jersey,4.64%
Alaska,4.57%
West Virginia,4.4%
Maine,4.26%
Wyoming,4.15%
Rhode Island,4.04%
Arkansas,4%
Connecticut,3.97%
Mississippi,3.84%
New York,3.8%
Illinois,3.8%
Pennsylvania,3.66%
South Carolina,3.6%
New Hampshire,3.57%
Montana,3.55%
New Mexico,3.55%
Kentucky,3.44%
Louisiana,3.41%
Michigan,3.4%
Alabama,3.37%
Maryland,3.36%
Nebraska,3.35%
Ohio,3.33%
Wisconsin,3.21%
Iowa,3.21%
Missouri,3.21%
Georgia,3.2%
Kansas,3.2%
Massachusetts,3.16%
Minnesota,3.15%
Idaho,3.09%
Texas,3.06%
Virginia,3%
Indiana,2.94%
Oklahoma,2.92%
Hawaii,2.91%
North Dakota,2.88%
Delaware,2.87%
Oregon,2.87%
Utah,2.84%
South Dakota,2.77%
Arizona,2.74%
Nevada,2.72%
California,2.72%
Florida,2.68%
Tennessee,2.68%
North Carolina,2.59%
Colorado,2.55%
Washington,2.51%
District of Columbia,1.44%
