State,"Number of cases per 100,000 people"
North Dakota,12269
South Dakota,11425
Iowa,9138
Wisconsin,9135
Tennessee,9044
Utah,9013
Rhode Island,8859
Nebraska,8842
Idaho,8105
Kansas,8002
Indiana,7918
Arkansas,7916
Wyoming,7874
Illinois,7826
Montana,7801
Arizona,7796
Oklahoma,7791
Alabama,7742
Nevada,7644
Mississippi,7575
Minnesota,7541
New Mexico,7082
Louisiana,7027
Missouri,6793
Georgia,6651
Alaska,6638
Florida,6482
Texas,6417
South Carolina,6372
California,6328
Ohio,6288
Kentucky,6286
Delaware,6275
Colorado,6024
Massachusetts,5763
New Jersey,5625
Connecticut,5525
North Carolina,5486
Michigan,5474
New York,5389
Pennsylvania,5304
West Virginia,5198
Maryland,4793
Virginia,4357
District of Columbia,4274
New Hampshire,3530
Washington,3398
Oregon,2833
Puerto Rico,2493
Maine,1976
Hawaii,1588
Vermont,1288
